age	view	sep.kpc	sigma	sigma.inf	sigma.sup	sigma.1	sigma.1.inf	sigma.1.sup	sigma.2	sigma.2.inf	sigma.2.sup	delta.t	M1	M1.e	M2	M2.e	z1	z1.e	z2	z2.e	sep.Mpc	M1p	M1p.lower	M1p.upper	M2p	M2p.lower	M2p.upper	z1p	z1p.lower	z1p.upper	z2p	z2p.lower	z2p.upper	d.proj.out	d.proj.out.lower	d.proj.out.upper	v.rad.obs.out	v.rad.obs.out.lower	v.rad.obs.out.upper	alpha.out	alpha.out.lower	alpha.out.upper	v.3d.obs.out	v.3d.obs.out.lower	v.3d.obs.out.upper	d.3d.out	d.3d.out.lower	d.3d.out.upper	v.3d.col.out	v.3d.col.out.lower	v.3d.col.out.upper	d.max.out	d.max.out.lower	d.max.out.upper	TSC0	TSC0.lower	TSC0.upper	TSC1	TSC1.lower	TSC1.upper	T.out	T.out.lower	T.out.upper	prob.out	prob.out.lower	prob.out.upper
0.0	z	3098.6337320000002	761.4001617	49.85531277	49.34037612	742.2348046	43.48427219	43.56984538	783.2978201000001	48.32975146	52.46131668	-1.32	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	3.0986337319999997	601771845427863.0	538646458799411.9	661567583404801.5	602277409308024.5	542488480912755.4	661971554445818.8	0.050028465451576964	0.04632198428314414	0.05353185638591894	0.04994976376709703	0.046282609254946594	0.05350197021240992	3.09257304056712	2.9437171338834065	3.238356043123571	396.93041803799974	120.91405310568256	774.9941703162567	40.67215339081827	19.528714749805566	60.82221925276265	720.8507511849731	261.24503268159214	1304.7469657563727	4.087199162861824	3.277905908226161	6.253169920554399	3085.3615352550587	2911.934706735219	3252.0811584554604	6.290435987506088	3.9544824197364283	17.337231819785156	2.786278327273232	1.7942550668023822	5.087845144234063	11.558062307684668	5.072263030469378	63.357994985655736	15.032875004770837	7.9759963487918615	67.86586489669313	0.418580159010558	0.08618007375091205	0.8045020310120858
0.4	z	2495.030909	799.8159102999999	46.43141033	51.71501453	733.4897308999999	42.89088522	43.24530727	861.9456769	49.00550642	56.15446595	-0.92	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	2.495030909	598178844926806.8	539370419714907.6	656781671636280.8	600385625989930.2	541908186810859.94	663711176412271.2	0.05005606998249834	0.04640440390430117	0.053755033917082945	0.04991634496117851	0.04644179455957873	0.053586765953791235	2.492692528564877	2.378736194541847	2.607134437605575	414.47282112385557	119.52501682144668	857.1756598770144	43.98230056980744	19.20273432743091	65.86546277892033	735.5203840154004	248.35892714590938	1372.5296485346325	3.4596769650724157	2.638510276489521	6.090257173494515	3033.2414643266197	2817.0857865895996	3225.254491540436	5.30444702487614	3.1658475147897116	13.38834650524432	2.239520931896176	1.3784569985123942	4.615191970981796	9.125280388134684	3.748275143003708	43.628696558534074	11.935933715793407	5.813321921668308	47.896569055078515	0.44886025849565936	0.0924797671155505	0.8238433034151833
0.6	z	2116.826388	821.9489975	49.49113456	51.07621364	751.9574977000001	46.99005935	43.86818664	885.9598222000001	50.01022745	60.58172758	-0.72	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	2.1168263880000002	599771269055473.2	543753872790648.4	662833359013621.2	602335315587710.6	541716161538344.75	661220521888794.5	0.05004615198969009	0.04622098220077267	0.053937614632441955	0.050042700762027374	0.046419948899571316	0.05398076465857929	2.1184973197767927	2.0214797868127072	2.217955992135135	476.39118274315564	147.82472928584792	939.5412527490599	45.149389354181736	20.451319776100487	66.29686843393193	823.7331109385734	307.29391036973334	1502.5994481889302	2.9976279100264347	2.28176478141581	5.197778887666125	3002.8827436719157	2744.798503450206	3210.987608820144	4.786497556758315	2.802280815791276	12.691169064914963	1.7859192429553223	1.1280726527435592	3.873726196725319	7.740318800202813	3.1571090512021622	40.19180640874423	10.304375786259758	4.863432276833757	43.239207133994654	0.42999485748038635	0.09428893157995336	0.7957287258111511
0.8	z	1664.837693	855.8813288999999	48.49341139	47.81899087	831.3346695	49.75588197	51.85663276	881.0507705	52.06290127	53.425130599999996	-0.52	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	1.6648376930000002	598496916107308.0	543224816563293.25	661396257364922.5	605278811618929.2	545539042819232.44	657948497867368.0	0.05016916757954592	0.04655128304214551	0.05365996138726588	0.050202996449036925	0.04659612853799256	0.05355876477474195	1.6670890148442497	1.5936815162433255	1.7500632370333375	533.1834038110585	164.742014489227	1049.149647349804	44.99261946517002	20.20206426520108	67.74599824563383	907.9834189292914	294.78540935729	1664.9676985786614	2.3603827983329646	1.7774858760663932	4.4557958592563	2909.170645851841	2553.088739554324	3197.880035758908	3.9267902774317958	2.19842460810525	10.969147529410407	1.3684524867739305	0.8533359801565275	3.019691211809255	6.044294766231706	2.3156401617488145	30.86295908791525	7.776285617097395	3.676384549011944	35.23899296633473	0.4371439798779266	0.08922811870723148	0.8135256721058408
1.0	z	1180.5890259999999	837.518674	46.23086381	50.85237347	833.671776	45.31748917	49.0347476	843.6590405	47.09392125	48.90666406	-0.32	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	1.180589026	601349185178883.2	543338079348677.0	660663208441850.9	601372315865091.8	540264283242329.1	659705833355041.5	0.050252203665927135	0.046422249067919835	0.05355928161048702	0.050220706995329545	0.046717151533422964	0.05390662846855826	1.1824097043569524	1.1213333678009105	1.230335962073891	613.5129096381291	181.7457747642635	1106.3501536284157	46.03524350417107	20.830584795912458	71.2609236973764	988.4382943179297	319.9742730914427	1831.1369218920104	1.698620680307534	1.260611216445498	3.6470738851362863	2746.332684750134	2274.3499370035515	3135.8881310502015	2.858992363662616	1.6278614033784526	7.681936400736437	1.0071471611650373	0.5945820537106564	2.430434259093321	3.9675912087163345	1.7800951947572967	17.901776508233716	5.058790943906525	2.8287092293265834	20.901947725394926	0.44905885692633185	0.11507281587196123	0.8153569127936666
1.2	z	525.5972224999999	834.0885527	54.6378179	50.73743261	783.5430841	45.11789578	49.45298968	885.3418212000001	49.9687973	58.86111207	-0.12	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.5255972225	601135145303305.1	537460565186958.9	660491967658762.2	603805844539258.6	541306504254461.4	663024951382978.8	0.05004566908394581	0.04590245021092949	0.053948642247895494	0.050027911645650874	0.04631011901574507	0.0538427938781225	0.5266785088631073	0.5013114872908098	0.55005654731851	687.2772578227732	177.38897342680514	1511.7530203618344	47.38180166999793	19.899444825484146	72.68225179898931	1175.0695534365304	378.76883175571743	2279.5087073297273	0.7855714119017011	0.5605416697082661	1.7708312354074343	2257.4358829443604	1523.0646451269413	3032.398050116618	1.6156765581185266	0.7966017053700762	5.4425212383169495	0.5543596804007482	0.27117399937172637	1.0464069486751277	2.2788388498916197	1.1837813592600372	11.361263224283386	2.8122889666810917	1.8144537438074153	12.598878759536813	0.38229674099496264	0.09224889460794924	0.7778093841064637
1.22	z	459.72688789999995	843.9518247999999	48.69635536	50.29691395	795.324113	47.53589009	52.77163225	894.0104298	51.66446182	59.15312229	-0.1	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.4597268879	605654130978602.6	543475485691500.4	659852882970152.2	599558794899361.2	542703716478856.1	660151326149727.9	0.04999704384538904	0.04600404942276921	0.053980978091034845	0.05021383087431948	0.045913560757839394	0.05391012717670607	0.4604559554830407	0.43971798813616275	0.48257592617375683	762.9622008299127	244.49343363137018	1581.0962090959163	49.137937361797796	21.85064909239504	72.79553591830488	1293.0409058971818	433.7216106011113	2328.628452022673	0.7015750022539655	0.4967250622025292	1.55347305847174	2257.8929011130554	1500.7108010550082	2974.520797658475	1.5918537752044208	0.7690839219098073	4.428354658568234	0.46314346835397546	0.23879241285023647	0.9372515110517905	2.283725049370608	1.1974437293974853	8.097016685813923	2.790235086565759	1.7728759797906344	9.282423739224088	0.3500607110525718	0.08528247324431337	0.7579473648473933
1.24	z	387.0920824	858.1279317	50.43908023	50.13628848	813.1087263999999	47.8368521	46.031293	904.8617009	54.73030542	54.46079799	-0.08	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.38709208240000004	604633747727828.0	538725672899797.94	661683082723747.0	597624353742037.6	539968147897244.56	660941334627209.5	0.05029105401910275	0.04646219707976292	0.054047283780171394	0.05036924785903532	0.04654911032995349	0.054169842859964984	0.3860292470289107	0.36898594880456415	0.4032402213102387	749.6111329316552	204.89119405533933	1586.3825685907864	48.43986295000899	22.15242574717439	72.18199834597687	1265.9989680693004	391.21307716399315	2403.39345483877	0.5787040950662509	0.4142205524997852	1.2992823209961852	2136.322407830859	1338.359943892491	2932.8021096577577	1.4278769184063864	0.6534647671840029	3.9963418305782255	0.4290970588377775	0.19833029227897592	0.872355357450683	2.12072746749951	1.0985558937119735	7.311680002563399	2.5491653495506217	1.6817141230084278	8.246208325158095	0.34223539815253645	0.06989228803474502	0.7872841972938504
1.26	z	297.62700639999997	879.7819066	51.67823894	47.53010664	844.1191564	49.28085821	51.93013379	917.7438156999999	59.20334912	52.96893373	-0.06	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.2976270064	598303218877500.0	538675974371545.0	664408840280763.1	597003522550019.5	536635137802191.6	656480305512941.2	0.0499049131788449	0.04614559827099369	0.053815746076753365	0.049781711833610534	0.045812278439485515	0.053802265913111116	0.2975986199616073	0.2851450494650109	0.31169035364094166	756.1813995304062	226.72481028062145	1662.8855487445048	50.63923731698762	23.830175209588006	74.87697745090098	1280.012281265379	395.2086351267783	2378.375109249484	0.4724447264548131	0.32628234040551074	1.1403444652783423	2025.0646633841282	1248.1267350600656	2903.697475329525	1.282570451391582	0.586596651627473	3.7626197038464797	0.3625924105093439	0.16575656766233207	0.7746820628517194	1.98037005063693	1.0920090034153416	6.828043577612615	2.4116099599838106	1.588201593044569	7.294482470941866	0.31419784981861126	0.07834640685870699	0.7462945553303717
1.28	z	208.9344286	901.8116289999999	63.80132510000001	56.99834576	881.0446067	56.46254153	51.55260502	925.9055099999999	55.42022943	52.78723392	-0.04	600000000000000.0	60000000000000.0	600000000000000.0	60000000000000.0	0.05	0.005	0.05	0.005	0.2089344286	599719138833424.5	539619150626062.3	661701732049116.1	600492871051277.0	539639052997977.7	653200559686090.5	0.04986450216765756	0.045705283836106204	0.05397829148848001	0.05007307065690618	0.04601548458105134	0.05396793578967955	0.20913949371560153	0.199333688268519	0.21890764556079345	800.826768996509	227.77794019308547	1737.4388602265794	51.26326038083977	21.830747593254728	74.4777480555797	1345.0459322673066	376.0886370926048	2459.851523572762	0.3351539052844068	0.22683589277631847	0.7860426545630279	1833.197565931047	1014.5731987083204	2790.051549289125	1.0791850577271358	0.44039341271807586	3.138269618531318	0.26629279448649823	0.11392706385364317	0.604752514742171	1.8413514175438292	1.0096708258020342	5.120059543074937	2.1795772723005467	1.4572372005576333	5.666712113570042	0.24807388372695743	0.052686654559949156	0.7164667074878108
